0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
31   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /mnt/hgfs/data/EmoryGeoBlackLight/jetty/contexts at interval 0
43   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /mnt/hgfs/data/EmoryGeoBlackLight/jetty/contexts/solr.xml
129  [main] INFO  org.eclipse.jetty.webapp.WebInfConfiguration  – Extract jar:file:/mnt/hgfs/data/EmoryGeoBlackLight/jetty/webapps/solr.war!/ to /mnt/hgfs/data/EmoryGeoBlackLight/jetty/solr-webapp/webapp
2842 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
4696 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – solr.NRTCachingDirectoryFactory
4702 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] Opening new SolrCore at /mnt/hgfs/data/EmoryGeoBlackLight/jetty/solr/blacklight-core/, dataDir=/mnt/hgfs/data/EmoryGeoBlackLight/jetty/solr/blacklight-core/data/
4703 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – JMX monitoring not detected for core: blacklight-core
4710 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=stanford}, {q=polygon}]}
4711 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
4722 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.CachingDirectoryFactory  – return new directory for /mnt/hgfs/data/EmoryGeoBlackLight/jetty/solr/blacklight-core/data
4725 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – New index directory detected: old=null new=/mnt/hgfs/data/EmoryGeoBlackLight/jetty/solr/blacklight-core/data/index/
4725 [coreLoadExecutor-5-thread-1] WARN  org.apache.solr.core.SolrCore  – [blacklight-core] Solr index directory '/mnt/hgfs/data/EmoryGeoBlackLight/jetty/solr/blacklight-core/data/index' doesn't exist. Creating new index...
4731 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.CachingDirectoryFactory  – return new directory for /mnt/hgfs/data/EmoryGeoBlackLight/jetty/solr/blacklight-core/data/index
4830 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – SolrDeletionPolicy.onCommit: commits: num=1
